file,word_count,reason,title
sec2_organization_of_act_into_divisions_table_of_contents.txt,17083,table_of_contents,ORGANIZATION OF ACT INTO DIVISIONS; TABLE OF CONTENTS.
sec4_budgetary_effects_of_this_act.txt,88,budgetary_boilerplate,BUDGETARY EFFECTS OF THIS ACT.
sec111_authority_of_the_secretary_of_the_army_to_waive_certain_limitations_related_to_t.txt,64,too_short_for_detection,AUTHORITY OF THE SECRETARY OF THE ARMY TO WAIVE CERTAIN LIMITATIONS RELATED TO THE DISTRIBUTED COMMON GROUND SYSTEM-ARMY INCREMENT 1.
sec121_ford_class_aircraft_carrier_cost_limitation_baselines.txt,333,amendment_to_existing_law,FORD-CLASS AIRCRAFT CARRIER COST LIMITATION BASELINES.
sec122_modification_of_annual_report_on_cost_targets_for_certain_aircraft_carriers.txt,188,too_short_for_detection,MODIFICATION OF ANNUAL REPORT ON COST TARGETS FOR CERTAIN AIRCRAFT CARRIERS.
sec123_refueling_and_complex_overhauls_of_the_uss_john_c_stennis_and_uss_harry_s_truman.txt,173,too_short_for_detection,REFUELING AND COMPLEX OVERHAULS OF THE U.S.S. JOHN C. STENNIS AND U.S.S. HARRY S. TRUMAN.
sec125_prohibition_on_use_of_funds_for_reduction_of_aircraft_carrier_force_structure.txt,68,too_short_for_detection,PROHIBITION ON USE OF FUNDS FOR REDUCTION OF AIRCRAFT CARRIER FORCE STRUCTURE.
sec126_modification_of_prohibition_on_availability_of_funds_for_navy_waterborne_securit.txt,205,too_short_for_detection,MODIFICATION OF PROHIBITION ON AVAILABILITY OF FUNDS FOR NAVY WATERBORNE SECURITY BARRIERS.
sec127_lha_replacement_amphibious_assault_ship_program.txt,162,too_short_for_detection,LHA REPLACEMENT AMPHIBIOUS ASSAULT SHIP PROGRAM.
sec129_design_and_construction_of_amphibious_transport_dock_designated_lpd31.txt,148,too_short_for_detection,DESIGN AND CONSTRUCTION OF AMPHIBIOUS TRANSPORT DOCK DESIGNATED LPD–31.
sec130_limitation_on_availability_of_funds_for_the_littoral_combat_ship.txt,188,too_short_for_detection,LIMITATION ON AVAILABILITY OF FUNDS FOR THE LITTORAL COMBAT SHIP.
sec134_report_on_carrier_wing_and_aviation_combat_element_composition.txt,224,too_short_for_detection,REPORT ON CARRIER WING AND AVIATION COMBAT ELEMENT COMPOSITION.
sec141_modification_of_requirement_to_preserve_certain_c5_aircraft.txt,148,too_short_for_detection,MODIFICATION OF REQUIREMENT TO PRESERVE CERTAIN C–5 AIRCRAFT.
sec142_oc135b_aircraft_recapitalization_program.txt,77,too_short_for_detection,OC–135B AIRCRAFT RECAPITALIZATION PROGRAM.
sec143_requirement_to_align_air_force_aviation_force_structure_with_national_defense_st.txt,131,too_short_for_detection,REQUIREMENT TO ALIGN AIR FORCE AVIATION FORCE STRUCTURE WITH NATIONAL DEFENSE STRATEGY.
sec144_prohibition_on_availability_of_funds_for_reduction_in_kc10_primary_mission_aircr.txt,63,too_short_for_detection,PROHIBITION ON AVAILABILITY OF FUNDS FOR REDUCTION IN KC–10 PRIMARY MISSION AIRCRAFT INVENTORY.
sec148_limitation_on_availability_of_funds_for_retirement_of_rc135_aircraft.txt,186,too_short_for_detection,LIMITATION ON AVAILABILITY OF FUNDS FOR RETIREMENT OF RC–135 AIRCRAFT.
sec151_report_on_feasibility_of_multiyear_contract_for_procurement_of_jassmer_missiles.txt,175,too_short_for_detection,REPORT ON FEASIBILITY OF MULTIYEAR CONTRACT FOR PROCUREMENT OF JASSM–ER MISSILES.
sec153_sense_of_congress_on_the_light_attack_aircraft_initiative_of_the_air_force.txt,177,too_short_for_detection,SENSE OF CONGRESS ON THE LIGHT ATTACK AIRCRAFT INITIATIVE OF THE AIR FORCE.
sec162_relief_from_contractors_for_failure_to_deliver_ready_for_issue_spare_parts_for_t.txt,197,too_short_for_detection,RELIEF FROM CONTRACTORS FOR FAILURE TO DELIVER READY-FOR-ISSUE SPARE PARTS FOR THE F–35 AIRCRAFT PROGRAM.
sec163_limitation_on_availability_of_funds_for_reallocation_of_turkish_f35a_aircraft_to.txt,187,too_short_for_detection,LIMITATION ON AVAILABILITY OF FUNDS FOR REALLOCATION OF TURKISH F–35A AIRCRAFT TO THE UNITED STATES.
sec164_requirement_to_establish_the_use_of_an_agile_devops_software_development_solutio.txt,115,too_short_for_detection,REQUIREMENT TO ESTABLISH THE USE OF AN AGILE DEVOPS SOFTWARE DEVELOPMENT SOLUTION AS AN ALTERNATIVE FOR JOINT STRIKE FIGHTER AUTONOMIC LOGISTICS INFORMATION SYSTEM.
sec169_repeal_of_tactical_unmanned_vehicle_common_data_link_requirement.txt,199,too_short_for_detection,REPEAL OF TACTICAL UNMANNED VEHICLE COMMON DATA LINK REQUIREMENT.
sec212_updates_to_the_department_of_defense_personnel_management_authority_to_attract_e.txt,270,amendment_to_existing_law,UPDATES TO THE DEPARTMENT OF DEFENSE PERSONNEL MANAGEMENT AUTHORITY TO ATTRACT EXPERTS IN SCIENCE AND ENGINEERING.
sec214_research_and_educational_programs_and_activities_for_historically_black_colleges.txt,83,too_short_for_detection,RESEARCH AND EDUCATIONAL PROGRAMS AND ACTIVITIES FOR HISTORICALLY BLACK COLLEGES AND UNIVERSITIES AND MINORITY-SERVING INSTITUTIONS OF HIGHER EDUCATION.
sec215_modification_of_authority_for_prizes_for_advanced_technology_achievements.txt,55,too_short_for_detection,MODIFICATION OF AUTHORITY FOR PRIZES FOR ADVANCED TECHNOLOGY ACHIEVEMENTS.
sec218_modification_of_authority_and_addition_of_technology_areas_for_expedited_access_.txt,151,too_short_for_detection,MODIFICATION OF AUTHORITY AND ADDITION OF TECHNOLOGY AREAS FOR EXPEDITED ACCESS TO TECHNICAL TALENT.
sec219_expansion_of_coordination_in_support_of_national_security_innovation_and_entrepr.txt,58,too_short_for_detection,EXPANSION OF COORDINATION IN SUPPORT OF NATIONAL SECURITY INNOVATION AND ENTREPRENEURIAL EDUCATION.
