section_number,title,division,subtitle,word_count,file_path
8692,10 USC 8692 .  Ford-class aircraft carriers: cost limitation baselines,PROCUREMENT,Navy Programs,225,sec8692_10_usc_8692_ford_class_aircraft_carriers_cost_limitation_baselines.txt
128,STRATEGIC SEALIFT FLEET VESSEL.,PROCUREMENT,Navy Programs,365,sec128_strategic_sealift_fleet_vessel.txt
131,LIMITATION ON THE NEXT NEW CLASS OF NAVY LARGE SURFACE COMBATANTS.,PROCUREMENT,Navy Programs,332,sec131_limitation_on_the_next_new_class_of_navy_large_surface_combatants.txt
132,LIMITATION ON AVAILABILITY OF FUNDS PENDING QUARTERLY UPDATES ON THE CH–53K KING STALLION HELICOPTER PROGRAM.,PROCUREMENT,Navy Programs,351,sec132_limitation_on_availability_of_funds_pending_quarterly_updates_on_the_ch53k_king_.txt
133,LIMITATION ON AVAILABILITY OF FUNDS FOR VH–92A HELICOPTER.,PROCUREMENT,Navy Programs,243,sec133_limitation_on_availability_of_funds_for_vh92a_helicopter.txt
145,LIMITATION ON AVAILABILITY OF FUNDS FOR F–15EX AIRCRAFT.,PROCUREMENT,Air Force Programs,275,sec145_limitation_on_availability_of_funds_for_f15ex_aircraft.txt
146,LIMITATION ON AVAILABILITY OF FUNDS FOR VC–25B AIRCRAFT.,PROCUREMENT,Air Force Programs,226,sec146_limitation_on_availability_of_funds_for_vc25b_aircraft.txt
147,LIMITATION ON AVAILABILITY OF FUNDS FOR RC–26B AIRCRAFT.,PROCUREMENT,Air Force Programs,429,sec147_limitation_on_availability_of_funds_for_rc26b_aircraft.txt
149,AIR FORCE AGGRESSOR SQUADRON MODERNIZATION.,PROCUREMENT,Air Force Programs,311,sec149_air_force_aggressor_squadron_modernization.txt
150,AIR FORCE PLAN FOR COMBAT RESCUE HELICOPTER FIELDING.,PROCUREMENT,Air Force Programs,478,sec150_air_force_plan_for_combat_rescue_helicopter_fielding.txt
152,REPORT ON AIRCRAFT FLEET OF THE CIVIL AIR PATROL.,PROCUREMENT,Air Force Programs,237,sec152_report_on_aircraft_fleet_of_the_civil_air_patrol.txt
161,ECONOMIC ORDER QUANTITY CONTRACTING AND BUY-TO-BUDGET ACQUISITION FOR F–35 AIRCRAFT PROGRAM.,PROCUREMENT,"Defense-wide, Joint, and Multiservice Matters",567,sec161_economic_order_quantity_contracting_and_buy_to_budget_acquisition_for_f35_aircra.txt
165,F–35 SUSTAINMENT COST.,PROCUREMENT,"Defense-wide, Joint, and Multiservice Matters",248,sec165_f35_sustainment_cost.txt
166,REPORTS ON THE PROGRESS AND PERFORMANCE OF THE F–35 AIRCRAFT PROGRAM.,PROCUREMENT,"Defense-wide, Joint, and Multiservice Matters",328,sec166_reports_on_the_progress_and_performance_of_the_f35_aircraft_program.txt
167,OTHER REPORTS ON THE F–35 AIRCRAFT PROGRAM.,PROCUREMENT,"Defense-wide, Joint, and Multiservice Matters",575,sec167_other_reports_on_the_f35_aircraft_program.txt
168,LIMITATION ON AVAILABILITY OF FUNDS FOR COMMUNICATIONS SYSTEMS LACKING CERTAIN RESILIENCY FEATURES.,PROCUREMENT,"Defense-wide, Joint, and Multiservice Matters",258,sec168_limitation_on_availability_of_funds_for_communications_systems_lacking_certain_r.txt
211,"PROGRAM ON ENHANCEMENT OF PREPARATION OF DEPENDENTS OF MEMBERS OF ARMED FORCES FOR CAREERS IN SCIENCE, TECHNOLOGY, ENGINEERING, AND MATHEMATICS.","RESEARCH, DEVELOPMENT, TEST, AND EVALUATION","Program Requirements, Restrictions, and Limitations",431,sec211_program_on_enhancement_of_preparation_of_dependents_of_members_of_armed_forces_f.txt
2192b,"10 USC 2192b .  Program on enhancement of preparation of dependents of members of armed forces for careers in science, technology, engineering, and mathematics","RESEARCH, DEVELOPMENT, TEST, AND EVALUATION","Program Requirements, Restrictions, and Limitations",294,sec2192b_10_usc_2192b_program_on_enhancement_of_preparation_of_dependents_of_members_of_a.txt
