section_number,title,division,subtitle,word_count,file_path
2,ORGANIZATION OF ACT INTO DIVISIONS; TABLE OF CONTENTS.,Unknown,,13762,sec2_organization_of_act_into_divisions_table_of_contents.txt
4,BUDGETARY EFFECTS OF THIS ACT.,Unknown,,88,sec4_budgetary_effects_of_this_act.txt
111,LIMITATION ON AVAILABILITY OF FUNDS PENDING ASSESSMENT OF ARMY TRACKLESS MOVING TARGET SYSTEMS.,PROCUREMENT,Army Programs,330,sec111_limitation_on_availability_of_funds_pending_assessment_of_army_trackless_moving_.txt
112,STRATEGY FOR ARMY TACTICAL WHEELED VEHICLE PROGRAM.,PROCUREMENT,Army Programs,537,sec112_strategy_for_army_tactical_wheeled_vehicle_program.txt
113,REPORT ON ACQUISITION STRATEGIES FOR THE LOGISTICS AUGMENTATION PROGRAM OF THE ARMY.,PROCUREMENT,Army Programs,458,sec113_report_on_acquisition_strategies_for_the_logistics_augmentation_program_of_the_a.txt
121,MODIFICATION OF REQUIREMENTS FOR MINIMUM NUMBER OF CARRIER AIR WINGS OF THE NAVY.,PROCUREMENT,Navy Programs,437,sec121_modification_of_requirements_for_minimum_number_of_carrier_air_wings_of_the_navy.txt
122,EXTENSION OF PROHIBITION ON AVAILABILITY OF FUNDS FOR NAVY PORT WATERBORNE SECURITY BARRIERS.,PROCUREMENT,Navy Programs,83,sec122_extension_of_prohibition_on_availability_of_funds_for_navy_port_waterborne_secur.txt
123,MULTIYEAR PROCUREMENT AUTHORITY FOR VIRGINIA CLASS SUBMARINE PROGRAM.,PROCUREMENT,Navy Programs,284,sec123_multiyear_procurement_authority_for_virginia_class_submarine_program.txt
124,PROCUREMENT AUTHORITY FOR AUXILIARY PERSONNEL LIGHTER PROGRAM.,PROCUREMENT,Navy Programs,117,sec124_procurement_authority_for_auxiliary_personnel_lighter_program.txt
125,LIMITATION ON REDUCTIONS TO V–22 AIRCRAFT NACELLE IMPROVEMENT PROGRAM.,PROCUREMENT,Navy Programs,111,sec125_limitation_on_reductions_to_v22_aircraft_nacelle_improvement_program.txt
126,LIMITATION ON CONSIDERATION OF GOVERNMENT-OPERATED DRY DOCKS IN CERTAIN CONTRACT SOLICITATIONS.,PROCUREMENT,Navy Programs,132,sec126_limitation_on_consideration_of_government_operated_dry_docks_in_certain_contract.txt
127,ANNUAL REPORTS ON USE OF GOVERNMENT DOCKS FOR SHIP REPAIR AND MAINTENANCE.,PROCUREMENT,Navy Programs,118,sec127_annual_reports_on_use_of_government_docks_for_ship_repair_and_maintenance.txt
131,LIMITATION ON RETIREMENT OF F–15 AIRCRAFT AND MODIFICATION OF RELATED REPORTING REQUIREMENT.,PROCUREMENT,Air Force Programs,517,sec131_limitation_on_retirement_of_f15_aircraft_and_modification_of_related_reporting_r.txt
132,LIMITATIONS AND MINIMUM INVENTORY REQUIREMENT RELATING TO RQ–4 AIRCRAFT.,PROCUREMENT,Air Force Programs,201,sec132_limitations_and_minimum_inventory_requirement_relating_to_rq4_aircraft.txt
133,TEMPORARY EXCEPTION TO MINIMUM INVENTORY REQUIREMENT FOR FIGHTER AIRCRAFT OF THE AIR FORCE.,PROCUREMENT,Air Force Programs,159,sec133_temporary_exception_to_minimum_inventory_requirement_for_fighter_aircraft_of_the.txt
