section_number,title,division,word_count,headline,prediction_short,fraction_ai,fraction_ai_assisted,fraction_human,total_segments,num_ai_segments,num_ai_assisted_segments,num_human_segments,reliability
1001,GENERAL TRANSFER AUTHORITY.,GENERAL PROVISIONS,263,,Human,0.0000,0.0000,1.0000,1,0,0,1,low
1002,DEFENSE BUSINESS AUDIT REMEDIATION PLAN.,GENERAL PROVISIONS,323,,Human,0.0000,0.0000,1.0000,1,0,0,1,low
1009,PLAN OF THE DEPARTMENT OF DEFENSE FOR FINANCIAL MANAGEMENT INFORMATION.,GENERAL PROVISIONS,259,,Human,0.0000,0.0000,1.0000,1,0,0,1,low
240g,10 USC 240g .  Defense Business Audit Remediation Plan,GENERAL PROVISIONS,256,,Human,0.0000,0.0000,1.0000,1,0,0,1,low
240h,10 USC 240h .  Annual report on auditable financial statements,GENERAL PROVISIONS,321,,Human,0.0000,0.0000,1.0000,1,0,0,1,low
1003,FINANCIAL IMPROVEMENT AND AUDIT REMEDIATION PLAN.,GENERAL PROVISIONS,440,Fully Human Written,Human,0.0000,0.0000,1.0000,2,0,0,2,low
1004,REPORTING REQUIREMENTS RELATING TO DEPARTMENT OF DEFENSE AUDITS.,GENERAL PROVISIONS,591,Fully Human Written,Human,0.0000,0.0000,1.0000,2,0,0,2,low
1021,MODIFICATION OF AUTHORITY TO SUPPORT A UNIFIED COUNTERDRUG AND COUNTERTERRORISM CAMPAIGN IN COLOMBIA.,GENERAL PROVISIONS,406,Fully Human Written,Human,0.0000,0.0000,1.0000,2,0,0,2,low
1034,SENIOR TECHNICAL AUTHORITY FOR EACH NAVAL VESSEL CLASS.,GENERAL PROVISIONS,1263,Fully Human Written,Human,0.0000,0.0000,1.0000,4,0,0,4,medium
1037,REPORT ON SHIPBUILDER TRAINING AND THE DEFENSE INDUSTRIAL BASE.,GENERAL PROVISIONS,270,Fully Human Written,Human,0.0000,0.0000,1.0000,1,0,0,1,low
1039,REPORT ON EXPANDING NAVAL VESSEL MAINTENANCE.,GENERAL PROVISIONS,482,Fully Human Written,Human,0.0000,0.0000,1.0000,2,0,0,2,low
1046,"CHIEF MEDICAL OFFICER AT UNITED STATES NAVAL STATION, GUANTANAMO BAY, CUBA.",GENERAL PROVISIONS,768,Fully Human Written,Human,0.0000,0.0000,1.0000,3,0,0,3,medium
1047,INDEPENDENT ASSESSMENT ON GENDER AND COUNTERING VIOLENT EXTREMISM.,GENERAL PROVISIONS,510,Fully Human Written,Human,0.0000,0.0000,1.0000,2,0,0,2,low
1051,SCHEDULING OF DEPARTMENT OF DEFENSE EXECUTIVE AIRCRAFT CONTROLLED BY SECRETARIES OF MILITARY DEPARTMENTS.,GENERAL PROVISIONS,413,Fully Human Written,Human,0.0000,0.0000,1.0000,2,0,0,2,low
1057,EXPENDITURE OF FUNDS FOR DEPARTMENT OF DEFENSE INTELLIGENCE AND COUNTERINTELLIGENCE ACTIVITIES.,GENERAL PROVISIONS,353,,Human,0.0000,0.0000,1.0000,1,0,0,1,low
120,10 USC 120 .  Department of Defense executive aircraft controlled by Secretaries of military departments,GENERAL PROVISIONS,329,,Human,0.0000,0.0000,1.0000,1,0,0,1,low
1060c,10 USC 1060c .  Provision of veterinary services in emergencies,HEALTH CARE PROVISIONS,324,,Human,0.0000,0.0000,1.0000,1,0,0,1,low
738,ENCOURAGEMENT OF PARTICIPATION IN WOMEN’S HEALTH TRANSITION TRAINING PILOT PROGRAM.,HEALTH CARE PROVISIONS,372,,Human,0.0000,0.0000,1.0000,0,0,0,0,low
743,STUDY AND PLAN ON THE USE OF MILITARY-CIVILIAN INTEGRATED HEALTH DELIVERY SYSTEMS.,HEALTH CARE PROVISIONS,339,,Human,0.0000,0.0000,1.0000,0,0,0,0,low
744,STUDY ON CASE MANAGEMENT IN THE MILITARY HEALTH SYSTEM.,HEALTH CARE PROVISIONS,360,,Human,0.0000,0.0000,1.0000,0,0,0,0,low
745,REPORT ON GLOBAL HEALTH SECURITY STRATEGY AND THE NATIONAL BIODEFENSE SECURITY.,HEALTH CARE PROVISIONS,306,,Human,0.0000,0.0000,1.0000,1,0,0,1,low
747,GAO REPORT ON DEPARTMENT OF DEFENSE QUALITY ASSURANCE PROGRAM AND IMPACTS OF MEDICAL MALPRACTICE ACTIONS.,HEALTH CARE PROVISIONS,273,,Human,0.0000,0.0000,1.0000,1,0,0,1,low
1102,REPORT ON THE PROBATIONARY PERIOD FOR DEPARTMENT OF DEFENSE EMPLOYEES.,CIVILIAN PERSONNEL MATTERS,473,Fully Human Written,Human,0.0000,0.0000,1.0000,2,0,0,2,low
1105,SEMIANNUAL REPORTS ON INVESTIGATIONS OF UNAUTHORIZED DISCLOSURES OF CLASSIFIED INFORMATION.,REPORTS AND OTHER MATTERS,530,Fully Human Written,Human,0.0000,0.0000,1.0000,2,0,0,2,low
1106,INSPECTOR GENERAL EXTERNAL REVIEW PANEL.,INTELLIGENCE COMMUNITY MATTERS,888,Fully Human Written,Human,0.0000,0.0000,1.0000,3,0,0,3,medium
1107,ANNUAL REPORTS ON INFLUENCE OPERATIONS AND CAMPAIGNS IN THE UNITED STATES BY THE COMMUNIST PARTY OF CHINA.,MATTERS RELATING TO FOREIGN COUNTRIES,464,Fully Human Written,Human,0.0000,0.0000,1.0000,2,0,0,2,low
1108,ANNUAL REPORTS ON INFLUENCE OPERATIONS AND CAMPAIGNS IN THE UNITED STATES BY THE RUSSIAN FEDERATION.,MATTERS RELATING TO FOREIGN COUNTRIES,300,,Human,0.0000,0.0000,1.0000,1,0,0,1,low
5503,ASSESSMENTS OF INTENTIONS OF POLITICAL LEADERSHIP OF THE RUSSIAN FEDERATION.,MATTERS RELATING TO FOREIGN COUNTRIES,280,,Human,0.0000,0.0000,1.0000,1,0,0,1,low
1108,AUTHORITY TO PROVIDE ADDITIONAL ALLOWANCES AND BENEFITS FOR CERTAIN DEFENSE CLANDESTINE SERVICE EMPLOYEES.,CIVILIAN PERSONNEL MATTERS,457,Fully Human Written,Human,0.0000,0.0000,1.0000,2,0,0,2,low
1109,MODIFICATION OF DIRECT HIRE AUTHORITIES FOR THE DEPARTMENT OF DEFENSE.,CIVILIAN PERSONNEL MATTERS,666,Fully Human Written,Human,0.0000,0.0000,1.0000,3,0,0,3,medium
1112,LIMITATION ON TRANSFER OF OFFICE OF PERSONNEL MANAGEMENT.,CIVILIAN PERSONNEL MATTERS,697,Fully Human Written,Human,0.0000,0.0000,1.0000,2,0,0,2,low
1113,ASSESSMENT OF ACCELERATED PROMOTION PROGRAM SUSPENSION.,CIVILIAN PERSONNEL MATTERS,378,Fully Human Written,Human,0.0000,0.0000,1.0000,1,0,0,1,low
1122,PROHIBITION ON CRIMINAL HISTORY INQUIRIES PRIOR TO CONDITIONAL OFFER FOR FEDERAL EMPLOYMENT.,CIVILIAN PERSONNEL MATTERS,2536,Fully Human Written,Human,0.0000,0.0000,1.0000,9,0,0,9,high
1123,PROHIBITION ON CRIMINAL HISTORY INQUIRIES BY CONTRACTORS PRIOR TO CONDITIONAL OFFER.,CIVILIAN PERSONNEL MATTERS,1860,Fully Human Written,Human,0.0000,0.0000,1.0000,6,0,0,6,high
1124,REPORT ON EMPLOYMENT OF INDIVIDUALS FORMERLY INCARCERATED IN FEDERAL PRISONS.,CIVILIAN PERSONNEL MATTERS,277,,Human,0.0000,0.0000,1.0000,1,0,0,1,low
9202,5 USC 9202 .  Limitations on requests for criminal history record information,CIVILIAN PERSONNEL MATTERS,356,,Human,0.0000,0.0000,1.0000,1,0,0,1,low
9204,5 USC 9204 .  Adverse action,CIVILIAN PERSONNEL MATTERS,279,,Human,0.0000,0.0000,1.0000,1,0,0,1,low
1134,FAA REPORTS ON AIR TRAFFIC CONTROLLER HIRING AND TRAINING.,CIVILIAN PERSONNEL MATTERS,281,,Human,0.0000,0.0000,1.0000,1,0,0,1,low
1135,DOT INSPECTOR GENERAL REVIEW AND REPORT.,CIVILIAN PERSONNEL MATTERS,268,,Human,0.0000,0.0000,1.0000,1,0,0,1,low
